,Dates,Expo_smooth_pred,PLID,Product Family,Business Unit,holt_pred,Prophet_pred,SARMAX_pred,predictions_final,test_size
0,01-01-2023,555.6037071,C9200L-48PL-4X-E,C9200L,UOPBLRBU,537.1376521,565.7809993,481.443799,555.2645,M
1,01-02-2023,569.8546682,C9200L-48PL-4X-E,C9200L,UOPBLRBU,558.2729945,566.3594897,571.1752356,555.2645,M
2,01-03-2023,583.7614037,C9200L-48PL-4X-E,C9200L,UOPBLRBU,579.1970402,566.9379802,873.9931575,555.2645,M
3,01-04-2023,597.3322282,C9200L-48PL-4X-E,C9200L,UOPBLRBU,599.9119014,567.5164706,330.9427184,555.2645,M
4,01-05-2023,610.5752555,C9200L-48PL-4X-E,C9200L,UOPBLRBU,620.4196696,568.0949611,417.2509553,555.2645,M
5,01-06-2023,623.4984033,C9200L-48PL-4X-E,C9200L,UOPBLRBU,640.722415,568.6734515,425.9871858,555.2645,M
6,01-07-2023,636.1093983,C9200L-48PL-4X-E,C9200L,UOPBLRBU,660.8221874,569.2519419,1567.75328,748.4019,M
7,01-08-2023,648.4157802,C9200L-48PL-4X-E,C9200L,UOPBLRBU,680.721016,569.8304324,771.8130831,555.2645,M
8,01-09-2023,660.4249071,C9200L-48PL-4X-E,C9200L,UOPBLRBU,700.4209096,570.4089228,609.9503356,555.2645,M
9,01-10-2023,672.1439588,C9200L-48PL-4X-E,C9200L,UOPBLRBU,719.9238571,570.9874132,1338.531324,631.56525,M
10,01-11-2023,683.579942,C9200L-48PL-4X-E,C9200L,UOPBLRBU,739.2318273,571.5659037,563.3351098,555.2645,M
11,01-12-2023,694.7396942,C9200L-48PL-4X-E,C9200L,UOPBLRBU,758.3467697,572.1443941,909.868995,555.2645,M
12,01-01-2023,445.083556,8201-SYS,8000,CRBU,369.7294551,344.8094757,339.0752704,391.03445,S
13,01-02-2023,471.6271917,8201-SYS,8000,CRBU,398.9828644,345.3256956,546.2600024,391.03445,S
14,01-03-2023,497.6416705,8201-SYS,8000,CRBU,427.2369943,345.8419154,345.3296556,391.03445,S
15,01-04-2023,523.1375413,8201-SYS,8000,CRBU,454.5259795,346.3581352,456.3484945,391.03445,S
16,01-05-2023,548.1251429,8201-SYS,8000,CRBU,480.8827889,346.874355,354.3951013,391.03445,S
17,01-06-2023,572.6146077,8201-SYS,8000,CRBU,506.339265,347.3905748,390.4839862,391.03445,S
18,01-07-2023,596.6158662,8201-SYS,8000,CRBU,530.9261627,347.9067946,862.0846626,391.03445,S
19,01-08-2023,620.138651,8201-SYS,8000,CRBU,554.6731863,348.4230144,573.5339079,391.03445,S
20,01-09-2023,643.1925008,8201-SYS,8000,CRBU,577.6090254,348.9392343,526.8781373,391.03445,S
21,01-10-2023,665.7867638,8201-SYS,8000,CRBU,599.7613896,349.4554541,633.8955437,391.03445,S
22,01-11-2023,687.930602,8201-SYS,8000,CRBU,621.1570419,349.9716739,593.3847152,391.03445,S
23,01-12-2023,709.632995,8201-SYS,8000,CRBU,641.8218312,350.4878937,667.1112593,391.03445,S
24,01-01-2023,6.906462386,8800-LC-36FH,8000,CRBU,216.7323923,767.4282127,102.917125,469.9637,S
25,01-02-2023,6.813860149,8800-LC-36FH,8000,CRBU,231.901031,-76.36651098,18.26339956,47.76764,XS
26,01-03-2023,6.722183933,8800-LC-36FH,8000,CRBU,246.925996,-837.1157509,8.64262796,47.76764,XS
27,01-04-2023,6.63142448,8800-LC-36FH,8000,CRBU,261.808648,-1506.514239,-19.96739183,38.270596,XS
28,01-05-2023,6.541572622,8800-LC-36FH,8000,CRBU,276.550335,-2078.505678,13.63591305,47.76764,XS
29,01-06-2023,6.452619282,8800-LC-36FH,8000,CRBU,291.1523923,-2549.326356,100.0009224,85.489265,XS
30,01-07-2023,6.364555475,8800-LC-36FH,8000,CRBU,305.6161424,-2917.495314,900.1666964,179.42937,S
31,01-08-2023,6.277372307,8800-LC-36FH,8000,CRBU,319.9428953,-3183.752852,220.2268591,119.0862,S
32,01-09-2023,6.19106097,8800-LC-36FH,8000,CRBU,334.1339485,-3350.950352,320.6334845,179.42937,S
33,01-10-2023,6.105612746,8800-LC-36FH,8000,CRBU,348.1905874,-3423.89551,796.3673846,179.42937,S
34,01-11-2023,6.021019005,8800-LC-36FH,8000,CRBU,362.1140852,-3409.15805,475.4010809,179.42937,S
35,01-12-2023,5.937271201,8800-LC-36FH,8000,CRBU,375.905703,-3314.841805,11.75843119,145.56245,S
